Vertex	Adjacent vertexes
410968174	3215618357
805391898	410968174
415531607	805391898
803307792	415531607
412477811	803307792
1352399340	412477811
1352399404	1352399340
192224757	1352399404
1585537475	192224757
2351239247	1585537475
599597174	2351239247
192224754	599597174
1241659477	192224754
713222388	1241659477
2351239270	713222388
1241659566	2351239270
2351239269	1241659566
820107858	2351239269
817069885	820107858
713222323	817069885
704313260	713222323
176144584	704313260
703571071	176144584
775948804	703571071
176144585	775948804
3754158513	176144585
1369833306	3754158513
1776804941	1369833306
1369833300	1776804941
1369833295	1369833300
1318636133	1369833295
5463642065	1318636133
1326613046	5463642065
1369833278	1326613046
5429658016	1369833278
2523058187	5429658016
824118438	2523058187
740571718	824118438
1369833266	740571718
1369833265	1369833266
1369833260	1369833265
1178189587	1369833260
806275555	1178189587
176144588	806275555
806275554	176144588
212609464	806275554
3939255339	212609464
636984050	3939255339
636984032	636984050
1740108196	636984032
2351239271	1740108196
740705369	2351239271
1030347394	740705369
1387234856	1030347394
2908690120	1387234856
1387234854	2908690120
2048012525	2048012504
2048012514	2048012525
2048012494	2048012514
2048012513	2048012494
4887805655	2048012513
220435744	4887805655
5714696993	220435744
220435742	5714696993
220435741	220435742
1958294862	220435741
220435739	1958294862
4196790997	220435739
220435738	4196790997
5714697328	220435738
551426508	5714697328
3194360836	551426508
531236275	3194360836
1186820938	531236275
220435732	1186820938
220435730	220435732
1186820862	220435730
220435728	1186820862
634092441	220435728
220435725	634092441
531236339	220435725
6896969344	531236339
5714697354	6896969344
5714697016	5714697354
531236335	5714697016
220435722	531236335
6896969277	220435722
413975942	6896969277
623906358	413975942
974609964	623906358
3194360835	974609964
6899621896	3194360835
3224872789	6899621896
220435719	3224872789
2889512797	220435719
2459655778	2889512797
623912296	2459655778
2889512795	623912296
220435716	2889512795
220435713	220435716
1186820865	220435713
1867138987	1186820865
220435710	1867138987
220435707	220435710
319894960	220435707
1867152915	319894960
220435704	1867152915
1727825683	220435704
220435701	1727825683
1727825688	220435701
220435699	1727825688
1727825691	220435699
220435695	1727825691
220435694	220435695
1867152834	220435694
1805156084	1867152834
1727825696	1805156084
1727825727	1727825696
220435689	1727825727
2897384180	220435689
220435685	2897384180
2897384197	220435685
1727825845	2897384197
634092453	1727825845
7050036875	634092453
7050036878	7050036875
220435684	7050036878
6901157203	220435684
220435680	6901157203
634092452	220435680
220435676	634092452
6511320254	220435676
1727826029	6511320254
6511320251	1727826029
6901157202	6511320251
