Vertex	Adjacent vertexes
878558342	1709442552
528024228	7161678349
192144076	192144075
220403616	220403613
2373086511	803416079
536496850	1369442740
175432806	6731904253
679993525	611055461
1437001412	1300518050
241927059	5620088884
4161689731	643529359
220403486	2895407599
176147433	4347321652
1601977027	420036136
192144081	4488048354
1805155697	417795352
610520819	3546482570
220403572	220403569
497504768	1242108477
175031589	175031587
4754065494	485977214
639030525	1617470225
1990653939	212641542
2316632908	490596685
2426907449	2426907448
3908596490	319895180
825443249	3392545729
192228507	1397311149
412342734	3567689901
3640773651	1316680268
220435738	5714697328
1492145711	417796276
412742404	412742405
2472822198	1702302127
772399320	1336820493
1918379378	411829193
220403672	4814847947
911708873	1854236851
751539172	410057025
703046685	803414565
3698436399	3685366385
931540544	4347321628
220408686	220403676
220403611	3881667893
1492145714	3951283096
176157983	858012979
6542170209	1349112686
5714697354	5714697016
176301558	839926893
1964120459	412742440
175118129	5646928765
3005747765	3245776119
796649968	758568989
3194360839	470135109
5714697008	1186820175
3923909098	175131770
2889696249	220402783
176299756	176299757
2373086512	535407070
412496987	175031582
175048158	1804730437
611054060	319524893
1964120568	1964120459
5594612071	2873947959
1332437453	1332437451
6736437442	6736437446
490519348	490519350
220435684	6901157203
220403645	1301165215
417796278	1492145711
427948328	3181106826
3415894807	3207295502
882557163	1780158074
1005027652	412413111
2045031021	1448705448
417796292	417796290
3639209524	2851923867
176188846	176188572
1336838044	630730546
192116649	2271565782
1103056157	411829196
417796288	417796286
3954694782	593892825
3881672697	220403625
220435669	6511320244
773458355	704313274
176188847	176188846
412742432	412742433
3280539557	241925118
241924897	2495749625
192144066	601624521
220403553	1691478362
1867152834	1805156084
1727491363	220403667
417796266	625187420
540711749	600747401
220402787	2889696249
1876181301	220403573
220435676	6511320254
3701676381	3514100852
864514725	751538956
538837615	1636147264
1367658078	1367658077
175031600	319893180
795512319	175118129
2392412599	1360638894
485977214	5382904517
3415894808	456717100
220403535	220403534
413472742	1713160305
3633972759	591780196
241927067	3755440468
1050957992	6953804555
2430081136	634092285
220469575	1185494724
958472802	3204563990
621741772	534534615
176188551	176188552
192144077	588344633
942272996	792217681
4346949759	1271727500
2425474477	471790769
426535954	832361257
2283239728	4887503183
1336820499	1336820480
911644141	773458355
175054405	793882464
417803535	7239886576
220469233	220469213
725238550	618260337
895841196	3518913446
5252679535	241864842
1300518105	415294892
1410306044	4347134467
241927063	868714275
7161678343	825444071
220403533	2473138962
2270104649	2924608798
220464469	611054284
3224872789	220435719
1801577506	761892229
2154033733	176169918
1336820483	192144079
2326818797	175394230
807615524	212641540
220403548	5363628611
704313274	176277599
175075309	6178139900
3392545729	176169920
241924896	3289778039
3822446159	3224872785
3356493297	3356493295
893926815	1336838044
225658114	858018866
175394233	175394234
536496965	243796174
411824618	606205077
832361250	4383959628
531236339	6896969344
1739259813	220403612
212654521	858012982
220403547	456716854
6489384506	2127709109
1801577509	1014889676
2916981676	319524908
6899621896	3224872789
414443436	1366840050
956784996	414443436
192144078	845831534
708414906	225604300
1991814307	6736437442
412742394	412742395
220469234	220469230
416574207	970886128
1738289069	175394259
3578912133	987443747
807615550	225658112
410870483	850625990
462336731	1612012115
942273003	662932253
795512379	911644141
223291357	740705334
1615251772	708414906
2426904492	2428205801
471280782	625195048
551379962	623044345
220435701	1727825688
175394227	1025563464
1025562926	1025562948
919334010	175394249
2426907448	2426907447
1341958280	795512144
